Category,parent_id,parent_label
CHARM,10,Office_Stationery
CHEMICAL_TEST_STRIP,6,Health_Beauty
CHEWING_GUM,7,Food_Nutrition
CHILDRENS_COSTUME,8,Books_Media
CHISEL,13,Tools_Hardware
CHOCOLATE_CANDY,7,Food_Nutrition
CHOPSTICK,0,Kitchen_Home
CIGARETTE_CASE,10,Office_Stationery
CIRCUIT_BREAKER,2,Industrial_Auto
CISTERN,14,Home_Decor
CLEANING_AGENT,6,Health_Beauty
CLEANING_BRUSH,13,Tools_Hardware
CLEANING_PRODUCT,6,Health_Beauty
CLIMBING_PLANT_SUPPORT_STRUCTURE,14,Home_Decor
CLINICAL_DIAGNOSTIC_TESTING_KIT,6,Health_Beauty
CLIPBOARD,14,Home_Decor
CLOCK,4,Consumer_Electronics
CLOTHES_HANGER,14,Home_Decor
CLOTHES_PIN,14,Home_Decor
CLOTHES_RACK,14,Home_Decor
CLOTH_NAPKIN,10,Office_Stationery
COAT,12,Apparel
COCKTAIL_MIX,7,Food_Nutrition
COCKTAIL_SHAKER,0,Kitchen_Home
COFFEE,7,Food_Nutrition
COFFEE_FILTER,0,Kitchen_Home
COFFEE_MAKER,0,Kitchen_Home
COIN_PURSE_POUCH,10,Office_Stationery
COLLAPSIBLE_PLAY_STRUCTURE,5,Toys_Games
COLLECTIBLE_CARD,10,Office_Stationery
COLLECTIBLE_COINS,10,Office_Stationery
COMPOST_BIN,0,Kitchen_Home
COMPRESSION_SPRINGS,2,Industrial_Auto
COMPUTER,1,Electronics_Accessories
COMPUTER_ADD_ON,1,Electronics_Accessories
COMPUTER_CHASSIS,1,Electronics_Accessories
COMPUTER_COMPONENT,1,Electronics_Accessories
COMPUTER_COOLING_DEVICE,1,Electronics_Accessories
COMPUTER_DRIVE_OR_STORAGE,1,Electronics_Accessories
COMPUTER_INPUT_DEVICE,1,Electronics_Accessories
COMPUTER_INPUT_DEVICE_ACCESSORY,8,Books_Media
COMPUTER_PROCESSOR,1,Electronics_Accessories
CONCENTRATED_FLAVORING_SUBSTANCE,7,Food_Nutrition
CONDIMENT,7,Food_Nutrition
CONDITIONER,6,Health_Beauty
CONDOM,3,Home_Textiles
CONFETTI,10,Office_Stationery
CONSOLE_VIDEO_GAMES,8,Books_Media
CONSUMER_ELECTRONICS,1,Electronics_Accessories
CONSUMER_SERVICES_SUBSCRIPTION,10,Office_Stationery
CONTACT_LENS_CLEANER,6,Health_Beauty
CONTAINER_LID,0,Kitchen_Home
CONTROLLER,9,Home_Electrical
COOKIE,7,Food_Nutrition
COOKIE_CUTTER,5,Toys_Games
COOKING_CONTAINER,0,Kitchen_Home
COOKING_OVEN,0,Kitchen_Home
COOKING_POT,0,Kitchen_Home
COOKTOP,0,Kitchen_Home
COOKWARE,0,Kitchen_Home
COOKWARE_SET,0,Kitchen_Home
COOLING_RACK,0,Kitchen_Home
COORDINATED_OUTFIT,12,Apparel
CORD_MANAGEMENT_COVER,14,Home_Decor
CORD_ROPE,13,Tools_Hardware
CORE_PIT_REMOVER,0,Kitchen_Home
CORRECTIVE_EYEGLASSES,1,Electronics_Accessories
CORSET,12,Apparel
COSMETIC_BRUSH,6,Health_Beauty
COSMETIC_CASE,6,Health_Beauty
COSMETIC_NAIL_SET,10,Office_Stationery
COSMETIC_POWDER,6,Health_Beauty
COSMETIC_SPONGE,6,Health_Beauty
COSTUME,8,Books_Media
COSTUME_EYEWEAR,5,Toys_Games
COSTUME_HEADWEAR,5,Toys_Games
COSTUME_MASK,5,Toys_Games
COSTUME_OUTFIT,5,Toys_Games
COTTON_PAD,6,Health_Beauty
COUNTERTOP_BURNER,9,Home_Electrical
COUNTERTOP_FOOD_STEAMER,0,Kitchen_Home
COUNTERTOP_GRIDDLE_APPLIANCE,0,Kitchen_Home
COUNTERTOP_OVEN,0,Kitchen_Home
CRACKER,7,Food_Nutrition
CRAFT_BEAD,10,Office_Stationery
CRAFT_HOOP_FRAME,10,Office_Stationery
CRAFT_MOLD,10,Office_Stationery
CRAFT_WOOD,10,Office_Stationery
CRAFT_WRAPPING_TISSUE_PAPER,10,Office_Stationery
CRIB,3,Home_Textiles
CRIMPING_PLIERS,13,Tools_Hardware
CROCHET_HOOK,13,Tools_Hardware
CUFF_LINK,12,Apparel
CULINARY_MUSHROOM,7,Food_Nutrition
CULINARY_SALT,7,Food_Nutrition
CUP_HOLDER,14,Home_Decor
CURTAIN,14,Home_Decor
CURTAIN_FASTENER,14,Home_Decor
CURTAIN_SWAG_HOLDER,14,Home_Decor
CUTLERY,0,Kitchen_Home
CUTTING_BOARD,13,Tools_Hardware
CUTTING_TOOLS,13,Tools_Hardware
CYCLING_COMPUTER,4,Consumer_Electronics
CYCLING_EQUIPMENT,2,Industrial_Auto
CYCLING_TIRE,2,Industrial_Auto
CYCLING_TIRE_TUBE,2,Industrial_Auto
CYCLING_WHEEL,8,Books_Media
DAILY_LIVING_AIDS,11,Sports_Fitness
DAIRY_BASED_BUTTER,7,Food_Nutrition
DAIRY_BASED_CHEESE,7,Food_Nutrition
DAIRY_BASED_CREAM,7,Food_Nutrition
DAIRY_BASED_DRINK,7,Food_Nutrition
DAIRY_BASED_ICE_CREAM,7,Food_Nutrition
DAIRY_BASED_PUDDING,7,Food_Nutrition
DAIRY_BASED_YOGURT,7,Food_Nutrition
DARTBOARD,5,Toys_Games
DART_FLIGHT,13,Tools_Hardware
DECORATIVE_CUTOUT,5,Toys_Games
DECORATIVE_MAGNET,10,Office_Stationery
DECORATIVE_PILLOW_COVER,3,Home_Textiles
DECORATIVE_POM_POM,10,Office_Stationery
DECORATIVE_RIBBON_TRIM,10,Office_Stationery
DECORATIVE_SIGNAGE,14,Home_Decor
DEEP_FRYER,0,Kitchen_Home
DEHUMIDIFIER,9,Home_Electrical
DENTAL_FLOSS,6,Health_Beauty
DESK,14,Home_Decor
DESK_PAD,14,Home_Decor
DIETARY_SUPPLEMENTS,7,Food_Nutrition
DIE_CUT_MACHINE,13,Tools_Hardware
DIGITAL_DEVICE_12_ACCESSORY,4,Consumer_Electronics
DIGITAL_DEVICE_21_ACCESSORY,4,Consumer_Electronics
DIGITAL_DEVICE_3,4,Consumer_Electronics
DIGITAL_DEVICE_3_ACCESSORY,4,Consumer_Electronics
DIGITAL_DEVICE_4,4,Consumer_Electronics
DIGITAL_DEVICE_4_ACCESSORY,4,Consumer_Electronics
DIGITAL_PICTURE_FRAME,1,Electronics_Accessories
DIGITAL_VIDEO_RECORDER,4,Consumer_Electronics
DIMENSIONAL_MEASUREMENT_CALIPER,13,Tools_Hardware
DINNERWARE,0,Kitchen_Home
DIP_SWITCH,2,Industrial_Auto
DISC_GRINDER_TOOL,13,Tools_Hardware
DISHWARE_BOWL,0,Kitchen_Home
DISHWARE_PLACE_SETTING,0,Kitchen_Home
DISHWARE_PLATE,0,Kitchen_Home
DISHWASHER,0,Kitchen_Home
DISHWASHER_DETERGENT,6,Health_Beauty
DISH_DRYING_MAT,14,Home_Decor
DISPLAY_ALBUM,10,Office_Stationery
DISPLAY_ENCLOSURE,14,Home_Decor
DISPOSABLE_INCONTINENCE_SURFACE_PROTECTOR,3,Home_Textiles
DISPOSABLE_NAPKIN,10,Office_Stationery
DIVE_MASK,12,Apparel
DOLL_CLOTHING,12,Apparel
DOOR,14,Home_Decor
DOORSTOP,14,Home_Decor
DOOR_CLOSER,2,Industrial_Auto
DOWNLOADABLE_SOFTWARE,8,Books_Media
DOWNLOADABLE_TV_SEASON,8,Books_Media
DOWNLOADABLE_VIDEO_GAME,8,Books_Media
DRAFT_STOPPER,14,Home_Decor
DRAIN_OPENER_SUBSTANCE,6,Health_Beauty
