Category,parent_id,parent_label
HOT_GLUE_GUN,13,Tools_Hardware
HOUSEHOLD_STAIN,6,Health_Beauty
HOUSEHOLD_VARNISH,6,Health_Beauty
HUBCAP_WHEEL_COVER,2,Industrial_Auto
HUMIDIFIER,9,Home_Electrical
HUMIDITY_METER,9,Home_Electrical
HVAC_AIR_FILTER,2,Industrial_Auto
HVAC_CONTROL_THERMOSTAT,9,Home_Electrical
HYDRATION_PACK,3,Home_Textiles
ICE_CHEST,3,Home_Textiles
ICE_CREAM_MAKER,0,Kitchen_Home
ICE_CUBE_TRAY,0,Kitchen_Home
ICE_MAKER,0,Kitchen_Home
IGNITION_COIL,2,Industrial_Auto
IMMERSION_HEATER,9,Home_Electrical
IMPACT_PROTECTION_GEAR,11,Sports_Fitness
INCENSE,10,Office_Stationery
INCENSE_HOLDER,10,Office_Stationery
INCONTINENCE_PROTECTOR,3,Home_Textiles
INDOOR_GROW_ENCLOSURE,14,Home_Decor
INDUSTRIAL_CASTERS,14,Home_Decor
INDUSTRIAL_HOSE,2,Industrial_Auto
INDUSTRIAL_WHEELS,2,Industrial_Auto
INFANT_TODDLER_CAR_SEAT,3,Home_Textiles
INKJET_PRINTER_INK,2,Industrial_Auto
INK_OR_TONER,2,Industrial_Auto
INPUT_MOUSE,4,Consumer_Electronics
INPUT_OUTPUT_CARD,1,Electronics_Accessories
INPUT_PEN,1,Electronics_Accessories
INSECT_REPELLENT,6,Health_Beauty
INSTALLATION_SERVICES,8,Books_Media
INSTRUMENT_PARTS_AND_ACCESSORIES,13,Tools_Hardware
INSULATION,14,Home_Decor
INTEGRATED_STEREO_SYSTEM,4,Consumer_Electronics
INTERCONNECT,4,Consumer_Electronics
INTERNAL_MEMORY,1,Electronics_Accessories
IRONING_BOARD,3,Home_Textiles
IRON_ON_TRANSFER_DESIGN,10,Office_Stationery
IRRIGATION_EQUIPMENT,4,Consumer_Electronics
IRRIGATION_SPRINKLER,2,Industrial_Auto
ITEM_CONTAINER,14,Home_Decor
ITEM_STAND,14,Home_Decor
JANITORIAL_SUPPLY,6,Health_Beauty
JAR,0,Kitchen_Home
